phase,wheel0_factor,wheel0_tooth_error_pct_of_pitch,wheel1_factor,wheel1_tooth_error_pct_of_pitch,wheel2_factor,wheel2_tooth_error_pct_of_pitch,wheel3_factor,wheel3_tooth_error_pct_of_pitch
0,0.99880418,-0.11958194,1.00094896,0.09489596,0.99829190,-0.17080975,1.00089415,0.08941534
1,0.99925779,-0.07422131,1.00108820,0.10881984,1.00041533,0.04153250,1.00086167,0.08616679
2,1.00023371,0.02337088,1.00089914,0.08991388,1.00062210,0.06221015,1.00169020,0.16902035
3,1.00038589,0.03858918,1.00060383,0.06038347,1.00001911,0.00191077,1.00045609,0.04560890
4,0.99965019,-0.03498134,1.00026551,0.02655138,1.00038614,0.03861436,1.00329769,0.32976925
5,0.99912876,-0.08712403,0.99892681,-0.10731944,1.00055432,0.05543202,1.00182207,0.18220748
6,0.99910452,-0.08954812,0.99806383,-0.19361731,1.00012280,0.01227984,0.99921557,-0.07844324
7,0.99912623,-0.08737689,0.99793439,-0.20656144,0.99978145,-0.02185514,1.00074079,0.07407873
8,0.99920347,-0.07965332,0.99838802,-0.16119759,1.00166782,0.16678157,1.00133264,0.13326354
9,0.99941901,-0.05809922,0.99885515,-0.11448517,1.00202594,0.20259402,1.00120643,0.12064257
10,0.99889782,-0.11021799,0.99941023,-0.05897686,1.00317414,0.31741406,1.00044574,0.04457375
11,0.99850745,-0.14925461,0.99890400,-0.10960020,1.00267603,0.26760314,1.00053222,0.05322218
12,0.99825905,-0.17409548,0.99850670,-0.14932968,1.00042679,0.04267870,1.00138892,0.13889193
13,0.99882845,-0.11715472,0.99828723,-0.17127712,0.99926768,-0.07323200,1.00188201,0.18820148
14,0.99910578,-0.08942160,0.99838890,-0.16110952,0.99916587,-0.08341285,1.00170623,0.17062281
15,0.99932416,-0.06758384,0.99900968,-0.09903212,1.00123920,0.12392018,1.00045635,0.04563529
16,0.99912316,-0.08768367,0.99948405,-0.05159539,0.99810115,-0.18988460,1.00035502,0.03550195
17,0.99896366,-0.10363447,0.99923458,-0.07654218,0.99859331,-0.14066904,0.99878155,-0.12184500
18,0.99954548,-0.04545224,0.99890557,-0.10944313,0.99849175,-0.15082500,0.99916638,-0.08336184
19,1.00076897,0.07689746,0.99874117,-0.12588272,0.99964367,-0.03563310,0.99739212,-0.26078807
20,1.00103791,0.10379101,0.99900777,-0.09922254,0.99609662,-0.39033782,0.99626010,-0.37399037
21,1.00079701,0.07970142,0.99923937,-0.07606286,0.99982287,-0.01771259,0.99567524,-0.43247610
22,1.00052911,0.05291139,0.99910273,-0.08972740,1.00565457,0.56545660,0.99585161,-0.41483934
23,1.00113656,0.11365647,0.99838043,-0.16195695,0.99739576,-0.26042417,0.99770204,-0.22979622
24,1.00075731,0.07573137,0.99822168,-0.17783193,0.99655345,-0.34465469,0.99828902,-0.17109798
25,1.00018129,0.01812867,0.99860621,-0.13937921,0.99580050,-0.41994970,0.99920337,-0.07966312
26,0.99919034,-0.08096597,0.99962117,-0.03788271,0.99429765,-0.57023547,0.99905752,-0.09424844
27,0.99857613,-0.14238658,1.00052457,0.05245732,0.99683215,-0.31678482,0.99715917,-0.28408349
28,0.99881760,-0.11823961,1.00110067,0.11006709,0.99877987,-0.12201318,0.99954928,-0.04507223
29,0.99989552,-0.01044848,1.00061181,0.06118115,1.00042724,0.04272417,0.99906813,-0.09318693
30,1.00066435,0.06643490,1.00045530,0.04552976,0.99927373,-0.07262708,0.99994968,-0.00503176
31,1.00225835,0.22583453,1.00030182,0.03018214,0.99918407,-0.08159330,1.00020970,0.02096977
32,1.00243497,0.24349747,1.00064905,0.06490547,0.99948489,-0.05151126,0.99829090,-0.17091016
33,1.00150506,0.15050649,1.00128714,0.12871351,1.00087476,0.08747560,0.99766848,-0.23315198
34,1.00048486,0.04848646,1.00177526,0.17752554,1.00305093,0.30509278,0.99922533,-0.07746683
35,1.00018786,0.01878590,1.00073640,0.07364028,1.00378759,0.37875874,0.99930645,-0.06935511
36,1.00011421,0.01142053,1.00161064,0.16106401,1.00419475,0.41947458,1.00043462,0.04346240
37,1.00071339,0.07133925,1.00251536,0.25153572,1.00293329,0.29332923,1.00005633,0.00563323
38,1.00078286,0.07828563,1.00252497,0.25249709,1.00313992,0.31399213,0.99871879,-0.12812093
39,1.00070338,0.07033812,1.00190528,0.19052754,1.00253641,0.25364090,0.99949202,-0.05079789
40,1.00034692,0.03469232,1.00181817,0.18181725,1.00114263,0.11426283,0.99966853,-0.03314715
41,0.99983891,-0.01610885,1.00151548,0.15154841,1.00095791,0.09579062,1.00103895,0.10389530
42,1.00005398,0.00539828,1.00058803,0.05880304,1.00051707,0.05170700,1.00154859,0.15485872
43,1.00127585,0.12758496,1.00027000,0.02700040,0.99913221,-0.08677869,1.00276999,0.27699905
44,1.00161851,0.16185079,1.00010158,0.01015807,0.99981680,-0.01831982,1.00375181,0.37518066
45,1.00113840,0.11384005,1.00043276,0.04327605,0.99810558,-0.18944220,1.00289518,0.28951836
46,1.00018949,0.01894932,1.00109470,0.10946999,0.99756795,-0.24320489,1.00140766,0.14076552
47,0.99913211,-0.08678859,1.00115569,0.11556915,0.99797235,-0.20276536,1.00212769,0.21276889
